0{}{}{}17.0{}{}{}1289.0{}{}{}Nature{}{}{}22.0{}{}{}34.0{}{}{}22.0{}{}{}0.0{}{}{}Ebony Ent{}{}{}Ebony Ent{}{}{}6713.0{}{}{}470.0{}{}{}Ent{}{}{}12.0{}{}{}0.0{}{}{}BROWN,WOOD,GRASS,EARTH
1{}{}{}18.0{}{}{}1293.0{}{}{}Nature{}{}{}18.0{}{}{}38.0{}{}{}23.0{}{}{}0.0{}{}{}Hemlock Ent{}{}{}Hemlock Ent{}{}{}6876.0{}{}{}472.0{}{}{}Ent{}{}{}13.0{}{}{}0.0{}{}{}GREEN,BROWN,GRASS,WOOD,EARTH
2{}{}{}16.0{}{}{}1291.0{}{}{}Nature{}{}{}21.0{}{}{}36.0{}{}{}21.0{}{}{}0.0{}{}{}Elder Ent{}{}{}Elder Ent{}{}{}6723.0{}{}{}474.0{}{}{}Ent{}{}{}11.0{}{}{}0.0{}{}{}OLD,GREEN,WOOD,EARTH
3{}{}{}18.0{}{}{}1290.0{}{}{}Nature{}{}{}23.0{}{}{}32.0{}{}{}23.0{}{}{}0.0{}{}{}Efflorescent Ent{}{}{}Efflorescent Ent{}{}{}7286.0{}{}{}842.0{}{}{}Ent{}{}{}13.0{}{}{}0.0{}{}{}BROWN,GRASS,WOOD,EARTH
4{}{}{}17.0{}{}{}1287.0{}{}{}Nature{}{}{}22.0{}{}{}35.0{}{}{}22.0{}{}{}0.0{}{}{}Ashwood Ent{}{}{}Ashwood Ent{}{}{}6492.0{}{}{}471.0{}{}{}Ent{}{}{}12.0{}{}{}0.0{}{}{}FIRE,BROWN,WOOD,EARTH
5{}{}{}17.0{}{}{}1294.0{}{}{}Nature{}{}{}22.0{}{}{}37.0{}{}{}22.0{}{}{}0.0{}{}{}Timeworn Ent{}{}{}Timeworn Ent{}{}{}7446.0{}{}{}473.0{}{}{}Ent{}{}{}12.0{}{}{}0.0{}{}{}OLD,GRAY,WOOD,EARTH
6{}{}{}3.0{}{}{}1576.0{}{}{}Life{}{}{}28.0{}{}{}38.0{}{}{}13.0{}{}{}0.0{}{}{}Diamond Paragon{}{}{}Diamond Paragon{}{}{}6664.0{}{}{}45.0{}{}{}Paragon{}{}{}28.0{}{}{}Diamond{}{}{}Paragon
7{}{}{}7.0{}{}{}1577.0{}{}{}Life{}{}{}21.0{}{}{}42.0{}{}{}17.0{}{}{}0.0{}{}{}Emerald Paragon{}{}{}Emerald Paragon{}{}{}6734.0{}{}{}44.0{}{}{}Paragon{}{}{}27.0{}{}{}Emerald{}{}{}Paragon
8{}{}{}5.0{}{}{}1579.0{}{}{}Life{}{}{}25.0{}{}{}42.0{}{}{}15.0{}{}{}0.0{}{}{}Ruby Paragon{}{}{}Ruby Paragon{}{}{}7186.0{}{}{}48.0{}{}{}Paragon{}{}{}25.0{}{}{}Ruby{}{}{}Paragon
9{}{}{}4.0{}{}{}1580.0{}{}{}Life{}{}{}24.0{}{}{}42.0{}{}{}14.0{}{}{}0.0{}{}{}Sapphire Paragon{}{}{}Sapphire Paragon{}{}{}7198.0{}{}{}47.0{}{}{}Paragon{}{}{}24.0{}{}{}Sapphire{}{}{}Paragon
