0{}{}{}Red Amber{}{}{}0.0{}{}{}1.0{}{}{}-1.0{}{}{}300.0
1{}{}{}Purple Amber{}{}{}0.0{}{}{}2.0{}{}{}-1.0{}{}{}299.0
2{}{}{}Blue Amber{}{}{}0.0{}{}{}3.0{}{}{}-1.0{}{}{}290.0
3{}{}{}Green Amber{}{}{}0.0{}{}{}4.0{}{}{}-1.0{}{}{}292.0
4{}{}{}Yellow Amber{}{}{}0.0{}{}{}0.0{}{}{}-1.0{}{}{}301.0
5{}{}{}Smelly Pumpkin{}{}{}2.0{}{}{}15.0{}{}{}1036.0{}{}{}3929.0
6{}{}{}Inflatable Drink{}{}{}2.0{}{}{}15.0{}{}{}1043.0{}{}{}11134.0
7{}{}{}Solar Drink{}{}{}2.0{}{}{}15.0{}{}{}1035.0{}{}{}11145.0
8{}{}{}Melon Drink{}{}{}2.0{}{}{}15.0{}{}{}1034.0{}{}{}2864.0
9{}{}{}Killer Drink{}{}{}2.0{}{}{}15.0{}{}{}1032.0{}{}{}11135.0
10{}{}{}Festival Drink{}{}{}2.0{}{}{}15.0{}{}{}1031.0{}{}{}11133.0
11{}{}{}Sunbather Drink{}{}{}2.0{}{}{}15.0{}{}{}1030.0{}{}{}11132.0
12{}{}{}Pump Drill{}{}{}1.0{}{}{}5.0{}{}{}-1.0{}{}{}5571.0
13{}{}{}Slippery Stone{}{}{}1.0{}{}{}12.0{}{}{}-1.0{}{}{}5603.0
14{}{}{}Jagged Rock{}{}{}1.0{}{}{}13.0{}{}{}-1.0{}{}{}5575.0
15{}{}{}Gummy Egg{}{}{}2.0{}{}{}15.0{}{}{}1042.0{}{}{}2932.0
16{}{}{}Ovoid Egg{}{}{}2.0{}{}{}15.0{}{}{}1041.0{}{}{}2931.0
17{}{}{}Scrambled Egg{}{}{}2.0{}{}{}15.0{}{}{}1040.0{}{}{}2865.0
18{}{}{}Chocolate Egg{}{}{}2.0{}{}{}15.0{}{}{}1039.0{}{}{}2929.0
19{}{}{}Bunny Egg{}{}{}2.0{}{}{}15.0{}{}{}1038.0{}{}{}2928.0
20{}{}{}Life Crippler{}{}{}1.0{}{}{}10.0{}{}{}Life{}{}{}2614.0
21{}{}{}Death Crippler{}{}{}1.0{}{}{}9.0{}{}{}Death{}{}{}2613.0
22{}{}{}Chaos Crippler{}{}{}1.0{}{}{}14.0{}{}{}Chaos{}{}{}2612.0
23{}{}{}Sorcery Crippler{}{}{}1.0{}{}{}17.0{}{}{}Sorcery{}{}{}2616.0
24{}{}{}Nature Crippler{}{}{}1.0{}{}{}16.0{}{}{}Nature{}{}{}2615.0
25{}{}{}Slate of Arcana{}{}{}1.0{}{}{}30.0{}{}{}5.0{}{}{}4332.0
26{}{}{}Slate of Invisibility{}{}{}1.0{}{}{}22.0{}{}{}12.0{}{}{}4337.0
27{}{}{}Slate of Berserking{}{}{}1.0{}{}{}19.0{}{}{}14.0{}{}{}4334.0
28{}{}{}Slate of Mending{}{}{}1.0{}{}{}23.0{}{}{}11.0{}{}{}4339.0
29{}{}{}Slate of Sheltering{}{}{}1.0{}{}{}21.0{}{}{}13.0{}{}{}4345.0
30{}{}{}Slate of Grace{}{}{}1.0{}{}{}25.0{}{}{}4.0{}{}{}4331.0
31{}{}{}Slate of Leeching{}{}{}1.0{}{}{}24.0{}{}{}10.0{}{}{}4338.0
32{}{}{}Slate of Savagery{}{}{}1.0{}{}{}18.0{}{}{}1.0{}{}{}4344.0
33{}{}{}Slate of Warding{}{}{}1.0{}{}{}20.0{}{}{}3.0{}{}{}4348.0
34{}{}{}Slate of Taunting{}{}{}1.0{}{}{}26.0{}{}{}9.0{}{}{}4347.0
35{}{}{}Slate of Protection{}{}{}1.0{}{}{}27.0{}{}{}0.0{}{}{}4341.0
36{}{}{}Slate of Splashing{}{}{}1.0{}{}{}28.0{}{}{}2.0{}{}{}4346.0
37{}{}{}Slate of Barriers{}{}{}1.0{}{}{}29.0{}{}{}6.0{}{}{}4333.0
38{}{}{}Adolescent Egg{}{}{}2.0{}{}{}15.0{}{}{}1037.0{}{}{}2927.0
39{}{}{}Mimic Gift{}{}{}2.0{}{}{}15.0{}{}{}1024.0{}{}{}2339.0
40{}{}{}Evergreen Gift{}{}{}2.0{}{}{}15.0{}{}{}1023.0{}{}{}2337.0
41{}{}{}Blizzard Gift{}{}{}2.0{}{}{}15.0{}{}{}1022.0{}{}{}2336.0
42{}{}{}Holiday Gift{}{}{}2.0{}{}{}15.0{}{}{}1021.0{}{}{}2340.0
43{}{}{}Reindeer Gift{}{}{}2.0{}{}{}15.0{}{}{}1020.0{}{}{}2344.0
44{}{}{}Pudding Gift{}{}{}2.0{}{}{}15.0{}{}{}1019.0{}{}{}2866.0
45{}{}{}Caroller Gift{}{}{}2.0{}{}{}15.0{}{}{}1018.0{}{}{}2335.0
46{}{}{}Jingle Gift{}{}{}2.0{}{}{}15.0{}{}{}1017.0{}{}{}2341.0
47{}{}{}Bag of Broken Toys{}{}{}2.0{}{}{}15.0{}{}{}1016.0{}{}{}2338.0
48{}{}{}Bloodmail Soul{}{}{}2.0{}{}{}15.0{}{}{}1015.0{}{}{}9269.0
49{}{}{}Astro Soul{}{}{}2.0{}{}{}15.0{}{}{}1014.0{}{}{}9268.0
50{}{}{}Willow Soul{}{}{}2.0{}{}{}15.0{}{}{}1013.0{}{}{}9277.0
51{}{}{}Curio of Poisoning{}{}{}1.0{}{}{}41.0{}{}{}22.0{}{}{}8619.0
52{}{}{}Curio of Burning{}{}{}1.0{}{}{}37.0{}{}{}18.0{}{}{}8611.0
53{}{}{}Curio of Confusion{}{}{}1.0{}{}{}38.0{}{}{}19.0{}{}{}8612.0
54{}{}{}Curio of Freezing{}{}{}1.0{}{}{}40.0{}{}{}21.0{}{}{}8617.0
55{}{}{}Curio of Slumbering{}{}{}1.0{}{}{}44.0{}{}{}25.0{}{}{}8623.0
56{}{}{}Curio of Weakness{}{}{}1.0{}{}{}46.0{}{}{}29.0{}{}{}8633.0
57{}{}{}Curio of Cursing{}{}{}1.0{}{}{}34.0{}{}{}20.0{}{}{}8613.0
58{}{}{}Curio of Ensnaring{}{}{}1.0{}{}{}39.0{}{}{}26.0{}{}{}8624.0
59{}{}{}Curio of Silencing{}{}{}1.0{}{}{}43.0{}{}{}24.0{}{}{}8622.0
60{}{}{}Curio of Blindness{}{}{}1.0{}{}{}36.0{}{}{}17.0{}{}{}8609.0
61{}{}{}Curio of Scorning{}{}{}1.0{}{}{}42.0{}{}{}23.0{}{}{}8621.0
62{}{}{}Curio of Bleeding{}{}{}1.0{}{}{}47.0{}{}{}33.0{}{}{}8607.0
63{}{}{}Curio of Blighting{}{}{}1.0{}{}{}48.0{}{}{}16.0{}{}{}8608.0
64{}{}{}Curio of Vulnerability{}{}{}1.0{}{}{}35.0{}{}{}28.0{}{}{}8632.0
65{}{}{}Treewall Soul{}{}{}2.0{}{}{}15.0{}{}{}1012.0{}{}{}9276.0
66{}{}{}Skywatch Soul{}{}{}2.0{}{}{}15.0{}{}{}1011.0{}{}{}9275.0
67{}{}{}Heavenshield Soul{}{}{}2.0{}{}{}15.0{}{}{}1010.0{}{}{}9270.0
68{}{}{}Silverbone Soul{}{}{}2.0{}{}{}15.0{}{}{}1009.0{}{}{}9274.0
69{}{}{}Nightveil Soul{}{}{}2.0{}{}{}15.0{}{}{}1008.0{}{}{}9272.0
70{}{}{}Magma Soul{}{}{}2.0{}{}{}15.0{}{}{}1007.0{}{}{}9271.0
71{}{}{}Redsteel Soul{}{}{}2.0{}{}{}15.0{}{}{}1006.0{}{}{}9273.0
72{}{}{}Headless Pumpkin{}{}{}2.0{}{}{}15.0{}{}{}1002.0{}{}{}3894.0
73{}{}{}Spooky Pumpkin{}{}{}2.0{}{}{}15.0{}{}{}1001.0{}{}{}3928.0
74{}{}{}Trick Pumpkin{}{}{}2.0{}{}{}15.0{}{}{}1000.0{}{}{}3934.0
75{}{}{}Treat Pumpkin{}{}{}2.0{}{}{}15.0{}{}{}999.0{}{}{}3933.0
76{}{}{}Eldritch Pumpkin{}{}{}2.0{}{}{}15.0{}{}{}998.0{}{}{}3891.0
77{}{}{}Bottle of Lagergoyle{}{}{}2.0{}{}{}15.0{}{}{}996.0{}{}{}1953.0
78{}{}{}Bottle of Scotchpion{}{}{}2.0{}{}{}15.0{}{}{}995.0{}{}{}1955.0
79{}{}{}Bottle of Grenale{}{}{}2.0{}{}{}15.0{}{}{}994.0{}{}{}1952.0
80{}{}{}Bottle of Vermowl{}{}{}2.0{}{}{}15.0{}{}{}993.0{}{}{}1957.0
81{}{}{}Bottle of Woodka{}{}{}2.0{}{}{}15.0{}{}{}992.0{}{}{}1961.0
82{}{}{}Bottle of Vulperry{}{}{}2.0{}{}{}15.0{}{}{}991.0{}{}{}1958.0
83{}{}{}Bottle of Ryetrap{}{}{}2.0{}{}{}15.0{}{}{}990.0{}{}{}1954.0
84{}{}{}Bottle of Whiskull{}{}{}2.0{}{}{}15.0{}{}{}989.0{}{}{}1959.0
85{}{}{}Bottle of Winegel{}{}{}2.0{}{}{}15.0{}{}{}988.0{}{}{}1960.0
86{}{}{}Bottle of Spirits{}{}{}2.0{}{}{}15.0{}{}{}987.0{}{}{}1956.0
87{}{}{}Grave Pimple{}{}{}2.0{}{}{}15.0{}{}{}753.0{}{}{}7829.0
88{}{}{}Scavenger Skull{}{}{}2.0{}{}{}15.0{}{}{}1210.0{}{}{}9137.0
89{}{}{}Arcane Sigil{}{}{}1.0{}{}{}8.0{}{}{}-1.0{}{}{}5563.0
90{}{}{}Armor Scrap{}{}{}1.0{}{}{}6.0{}{}{}-1.0{}{}{}5564.0
91{}{}{}Whetstone{}{}{}1.0{}{}{}7.0{}{}{}-1.0{}{}{}5607.0
92{}{}{}Vivifier Horseshoe{}{}{}2.0{}{}{}15.0{}{}{}1253.0{}{}{}4198.0
93{}{}{}Consecrator Horseshoe{}{}{}2.0{}{}{}15.0{}{}{}1.0{}{}{}4192.0
94{}{}{}Stormbringer Horseshoe{}{}{}2.0{}{}{}15.0{}{}{}2.0{}{}{}4196.0
95{}{}{}Thundercracker Horseshoe{}{}{}2.0{}{}{}15.0{}{}{}4.0{}{}{}4197.0
96{}{}{}Pegasus Horseshoe{}{}{}2.0{}{}{}15.0{}{}{}5.0{}{}{}4195.0
97{}{}{}Firewound Claymore{}{}{}2.0{}{}{}15.0{}{}{}6.0{}{}{}2419.0
98{}{}{}Icewound Claymore{}{}{}2.0{}{}{}15.0{}{}{}7.0{}{}{}2421.0
99{}{}{}Goldblight Claymore{}{}{}2.0{}{}{}15.0{}{}{}8.0{}{}{}2420.0
100{}{}{}Doomblight Claymore{}{}{}2.0{}{}{}15.0{}{}{}9.0{}{}{}2418.0
101{}{}{}Imperial Claymore{}{}{}2.0{}{}{}15.0{}{}{}10.0{}{}{}2422.0
102{}{}{}Soulslayer Claymore{}{}{}2.0{}{}{}15.0{}{}{}11.0{}{}{}2423.0
103{}{}{}Willow Fluff{}{}{}2.0{}{}{}15.0{}{}{}12.0{}{}{}3338.0
104{}{}{}Frozen Fluff{}{}{}2.0{}{}{}15.0{}{}{}13.0{}{}{}3335.0
105{}{}{}Succubus Fluff{}{}{}2.0{}{}{}15.0{}{}{}14.0{}{}{}3337.0
106{}{}{}Ancient Fluff{}{}{}2.0{}{}{}15.0{}{}{}15.0{}{}{}3330.0
107{}{}{}Exalted Fluff{}{}{}2.0{}{}{}15.0{}{}{}16.0{}{}{}3333.0
108{}{}{}Clairvoyant Fluff{}{}{}2.0{}{}{}15.0{}{}{}17.0{}{}{}3331.0
109{}{}{}Timeless Crown{}{}{}2.0{}{}{}15.0{}{}{}18.0{}{}{}2625.0
110{}{}{}Ceaseless Crown{}{}{}2.0{}{}{}15.0{}{}{}19.0{}{}{}2617.0
111{}{}{}Infinite Crown{}{}{}2.0{}{}{}15.0{}{}{}20.0{}{}{}2621.0
112{}{}{}Celestial Crown{}{}{}2.0{}{}{}15.0{}{}{}21.0{}{}{}2618.0
113{}{}{}Omnipotent Crown{}{}{}2.0{}{}{}15.0{}{}{}22.0{}{}{}2622.0
114{}{}{}Immortal Crown{}{}{}2.0{}{}{}15.0{}{}{}23.0{}{}{}2620.0
115{}{}{}Forest Rod{}{}{}2.0{}{}{}15.0{}{}{}24.0{}{}{}8785.0
116{}{}{}War Rod{}{}{}2.0{}{}{}15.0{}{}{}25.0{}{}{}8790.0
